PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=30 ttl=63 time=16.2 ms
64 bytes from 10.0.2.22: icmp_seq=31 ttl=63 time=17.7 ms
64 bytes from 10.0.2.22: icmp_seq=32 ttl=63 time=10.8 ms
64 bytes from 10.0.2.22: icmp_seq=33 ttl=63 time=16.4 ms
64 bytes from 10.0.2.22: icmp_seq=34 ttl=63 time=14.7 ms
64 bytes from 10.0.2.22: icmp_seq=35 ttl=63 time=13.3 ms
64 bytes from 10.0.2.22: icmp_seq=36 ttl=63 time=14.1 ms
64 bytes from 10.0.2.22: icmp_seq=37 ttl=63 time=14.5 ms
64 bytes from 10.0.2.22: icmp_seq=38 ttl=63 time=15.3 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=40 ttl=63 time=11.3 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=16.9 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=10.9 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=16.3 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=63 time=15.7 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=63 time=15.3 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=63 time=15.1 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=15.6 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=63 time=14.8 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=15.5 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=15.6 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=11.8 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=12.5 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=13.7 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=63 time=11.4 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=13.0 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=14.0 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=15.9 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=15.1 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=15.4 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=15.1 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=14.6 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=14.6 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=63 time=14.3 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=63 time=15.0 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=63 time=15.5 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=63 time=15.4 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=63 time=15.2 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=63 time=15.9 ms
64 bytes from 10.0.2.22: icmp_seq=77 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=63 time=11.0 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=63 time=11.5 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=63 time=11.2 ms
64 bytes from 10.0.2.22: icmp_seq=81 ttl=63 time=11.4 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=11.3 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=11.5 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=11.5 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=12.6 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=13.3 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=13.6 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=13.3 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=13.8 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=14.5 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=14.8 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=13.7 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=14.5 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=14.0 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=16.6 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=15.6 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=16.8 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=406 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=523 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=651 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=63 time=746 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=825 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=926 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=999 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=1102 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=63 time=1202 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=1305 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=1412 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=1515 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=1619 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=1711 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=1815 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=1921 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=2017 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=2118 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=2221 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=2328 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=2424 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=2531 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=2634 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=2735 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=2838 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=2938 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=3041 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=3141 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=3242 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=3344 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=3447 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=3547 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=63 time=3580 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=63 time=3580 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=3587 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=63 time=3591 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=3587 ms
